,Combination,Count_ICC_above_0_8,Count_ICC_above_0_6
0,Wed_Sun,4,6
1,Mon_Wed,3,6
2,Wed_Fri,3,6
3,Mon_Sat,1,6
4,Fri_Sun,1,5
5,Sat_Sun,0,5
6,Mon_Tue_Thu,6,6
7,Tue_Wed_Sat,6,6
8,Thu_Sat_Sun,6,6
9,Mon_Fri_Sun,5,6
10,Mon_Sat_Sun,5,6
11,Fri_Sat_Sun,4,5
12,Mon_Tue_Wed_Fri,6,6
13,Mon_Thu_Fri_Sun,6,6
14,Wed_Fri_Sat_Sun,6,6
15,Thu_Fri_Sat_Sun,6,6
16,Mon_Fri_Sat_Sun,5,6
17,Tue_Fri_Sat_Sun,5,6
18,Mon_Tue_Wed_Thu_Sat,6,6
19,Mon_Tue_Wed_Thu_Sun,6,6
20,Tue_Thu_Fri_Sat_Sun,6,6
21,Mon_Tue_Wed_Fri_Sun,6,6
22,Mon_Tue_Wed_Fri_Sat,6,6
23,Wed_Thu_Fri_Sat_Sun,6,6
24,Mon_Tue_Wed_Thu_Fri_Sun,6,6
25,Mon_Tue_Wed_Thu_Sat_Sun,6,6
26,Mon_Tue_Wed_Fri_Sat_Sun,6,6
27,Mon_Tue_Thu_Fri_Sat_Sun,6,6
28,Mon_Wed_Thu_Fri_Sat_Sun,6,6
29,Tue_Wed_Thu_Fri_Sat_Sun,6,6
