,Combination,Count_ICC_above_0_8,Count_ICC_above_0_6
0,Tue_Fri,5,18
1,Mon_Fri,5,17
2,Wed_Fri,4,18
3,Wed_Thu,1,18
4,Thu_Sun,1,18
5,Sat_Sun,0,16
6,Wed_Thu_Sat,17,21
7,Wed_Thu_Fri,17,21
8,Tue_Thu_Sat,17,21
9,Tue_Wed_Sun,12,20
10,Tue_Wed_Thu,12,21
11,Fri_Sat_Sun,11,19
12,Mon_Tue_Thu_Fri,21,21
13,Mon_Thu_Fri_Sat,20,21
14,Mon_Tue_Thu_Sat,20,21
15,Mon_Tue_Fri_Sun,18,21
16,Thu_Fri_Sat_Sun,18,21
17,Mon_Tue_Wed_Sun,17,21
18,Mon_Tue_Wed_Thu_Sat,21,21
19,Mon_Wed_Thu_Fri_Sat,21,21
20,Tue_Thu_Fri_Sat_Sun,21,21
21,Wed_Thu_Fri_Sat_Sun,21,21
22,Mon_Wed_Fri_Sat_Sun,19,21
23,Tue_Wed_Fri_Sat_Sun,19,21
24,Mon_Tue_Wed_Thu_Fri_Sun,21,21
25,Mon_Tue_Wed_Thu_Sat_Sun,21,21
26,Mon_Tue_Wed_Fri_Sat_Sun,21,21
27,Mon_Tue_Thu_Fri_Sat_Sun,21,21
28,Mon_Wed_Thu_Fri_Sat_Sun,21,21
29,Tue_Wed_Thu_Fri_Sat_Sun,21,21
