,Combination,Count_ICC_above_0_8,Count_ICC_above_0_6
0,Wed_Fri,11,34
1,Mon_Fri,10,33
2,Tue_Thu,10,34
3,Wed_Thu,6,34
4,Fri_Sun,5,32
5,Sat_Sun,1,31
6,Tue_Wed_Sat,32,36
7,Wed_Fri_Sun,32,35
8,Mon_Wed_Fri,32,36
9,Mon_Fri_Sat,27,37
10,Tue_Wed_Thu,26,37
11,Fri_Sat_Sun,24,34
12,Mon_Tue_Thu_Fri,37,37
13,Mon_Thu_Fri_Sat,36,37
14,Mon_Tue_Thu_Sat,36,37
15,Thu_Fri_Sat_Sun,34,37
16,Mon_Fri_Sat_Sun,33,37
17,Mon_Tue_Wed_Sun,33,37
18,Mon_Tue_Wed_Thu_Sat,37,37
19,Mon_Wed_Thu_Fri_Sat,37,37
20,Tue_Thu_Fri_Sat_Sun,37,37
21,Wed_Thu_Fri_Sat_Sun,37,37
22,Mon_Wed_Fri_Sat_Sun,35,37
23,Tue_Wed_Fri_Sat_Sun,35,37
24,Mon_Tue_Wed_Thu_Fri_Sun,37,37
25,Mon_Tue_Wed_Thu_Sat_Sun,37,37
26,Mon_Tue_Wed_Fri_Sat_Sun,37,37
27,Mon_Tue_Thu_Fri_Sat_Sun,37,37
28,Mon_Wed_Thu_Fri_Sat_Sun,37,37
29,Tue_Wed_Thu_Fri_Sat_Sun,37,37
