,Combination,Count_ICC_above_0_8,Count_ICC_above_0_6
0,Mon_Fri,1,3
1,Mon_Sat,1,3
2,Fri_Sun,1,1
3,Tue_Wed,0,1
4,Mon_Sun,0,2
5,Sat_Sun,0,1
6,Tue_Wed_Sun,2,6
7,Wed_Fri_Sun,2,6
8,Tue_Thu_Sun,2,5
9,Fri_Sat_Sun,1,5
10,Tue_Wed_Thu,0,3
11,Mon_Wed_Thu,0,4
12,Wed_Fri_Sat_Sun,5,6
13,Mon_Thu_Sat_Sun,4,6
14,Tue_Thu_Sat_Sun,4,6
15,Mon_Tue_Thu_Fri,2,6
16,Mon_Tue_Wed_Sun,2,6
17,Mon_Tue_Wed_Fri,2,6
18,Mon_Tue_Wed_Thu_Sat,6,6
19,Mon_Wed_Thu_Sat_Sun,6,6
20,Tue_Thu_Fri_Sat_Sun,6,6
21,Mon_Tue_Wed_Fri_Sat,6,6
22,Wed_Thu_Fri_Sat_Sun,6,6
23,Mon_Tue_Wed_Thu_Sun,5,6
24,Mon_Tue_Wed_Thu_Fri_Sun,6,6
25,Mon_Tue_Wed_Thu_Sat_Sun,6,6
26,Mon_Tue_Wed_Fri_Sat_Sun,6,6
27,Mon_Tue_Thu_Fri_Sat_Sun,6,6
28,Mon_Wed_Thu_Fri_Sat_Sun,6,6
29,Tue_Wed_Thu_Fri_Sat_Sun,6,6
