,Combination,Count_ICC_above_0_8,Count_ICC_above_0_6
0,Wed_Sun,1,4
1,Mon_Wed,0,4
2,Mon_Thu,0,6
3,Mon_Sat,0,5
4,Mon_Fri,0,2
5,Sat_Sun,0,2
6,Mon_Thu_Sat,3,20
7,Tue_Thu_Sat,2,20
8,Tue_Thu_Sun,2,20
9,Mon_Thu_Fri,0,17
10,Mon_Wed_Fri,0,14
11,Thu_Fri_Sat,0,20
12,Tue_Thu_Sat_Sun,16,21
13,Mon_Thu_Sat_Sun,15,21
14,Tue_Wed_Thu_Sat,15,21
15,Tue_Wed_Fri_Sun,6,19
16,Mon_Tue_Wed_Sun,6,20
17,Mon_Tue_Wed_Fri,4,21
18,Mon_Tue_Wed_Thu_Sat,21,21
19,Mon_Tue_Thu_Fri_Sat,21,21
20,Mon_Tue_Thu_Sat_Sun,21,21
21,Mon_Tue_Wed_Fri_Sun,17,21
22,Mon_Tue_Wed_Fri_Sat,17,21
23,Tue_Wed_Fri_Sat_Sun,16,20
24,Mon_Tue_Wed_Thu_Fri_Sun,21,21
25,Mon_Tue_Wed_Thu_Sat_Sun,21,21
26,Mon_Tue_Thu_Fri_Sat_Sun,21,21
27,Mon_Wed_Thu_Fri_Sat_Sun,21,21
28,Tue_Wed_Thu_Fri_Sat_Sun,21,21
29,Mon_Tue_Wed_Fri_Sat_Sun,19,21
