,Combination,Count_ICC_above_0_8,Count_ICC_above_0_6
0,Wed_Sun,3,7
1,Mon_Fri,2,7
2,Mon_Sat,2,10
3,Tue_Wed,0,2
4,Mon_Sun,0,5
5,Sat_Sun,0,5
6,Mon_Thu_Sat,6,36
7,Wed_Fri_Sat,5,31
8,Tue_Thu_Sun,5,34
9,Mon_Tue_Thu,2,26
10,Tue_Wed_Thu,1,25
11,Mon_Wed_Thu,1,24
12,Tue_Thu_Sat_Sun,24,37
13,Wed_Thu_Fri_Sat,23,37
14,Mon_Thu_Sat_Sun,22,37
15,Tue_Wed_Thu_Fri,12,37
16,Mon_Tue_Wed_Sun,9,36
17,Mon_Tue_Wed_Fri,8,37
18,Mon_Tue_Wed_Thu_Sat,37,37
19,Mon_Tue_Thu_Fri_Sat,37,37
20,Mon_Tue_Thu_Sat_Sun,37,37
21,Mon_Wed_Fri_Sat_Sun,32,37
22,Mon_Tue_Wed_Fri_Sun,32,37
23,Tue_Wed_Fri_Sat_Sun,32,36
24,Mon_Tue_Wed_Thu_Fri_Sun,37,37
25,Mon_Tue_Wed_Thu_Sat_Sun,37,37
26,Mon_Tue_Thu_Fri_Sat_Sun,37,37
27,Mon_Wed_Thu_Fri_Sat_Sun,37,37
28,Tue_Wed_Thu_Fri_Sat_Sun,37,37
29,Mon_Tue_Wed_Fri_Sat_Sun,35,37
