Nutritional Feature,Mean ± Std,Median,CVw (%),CVb (%),Variance Ratio,Days (r=0.8),Days (r=0.85),Days (r=0.9)
eaten_quantity_in_gram,3225.63 ± 1491.44,3063.0,25.6035295019017,38.50280067998042,0.4421962279148471,1,2,2
energy_kcal_eaten,2544.42 ± 661.79,2425.025,21.720032516103792,11.601228501243533,3.505201431794958,7,10,15
energy_kj_eaten,10712.70 ± 2776.97,10249.6096,21.585064205498504,11.609609396657012,3.4567778715911186,7,10,15
carb_eaten,263.34 ± 80.52,254.15,24.473891121374074,16.502227103257237,2.1994846130139183,4,6,10
fat_eaten,109.52 ± 38.93,103.468,30.314854797064168,16.489320552066218,3.3799125461446957,7,9,15
protein_eaten,93.47 ± 33.05,88.663,29.71956023111972,16.53088520353635,3.2321576647471404,6,9,14
fiber_eaten,28.32 ± 12.83,26.2505,34.28650687678739,29.017461251538606,1.3961357764734748,3,4,6
alcohol_eaten,10.06 ± 17.95,0.0,148.79382006103782,86.48365873466392,2.9600679374685614,6,8,13
beta_carotene_eaten,3.31e-03 ± 3.84e-03,0.0018514,101.44571421427828,55.051225229686395,3.3957321766230257,7,9,15
calcium_eaten,8.03e-01 ± 5.13e-01,0.6962649999999999,51.94553171742861,36.566742225908435,2.018012498373423,4,6,9
cholesterol_eaten,2.97e-01 ± 2.33e-01,0.2339,69.4820571064878,33.44834996415979,4.315150414111744,8,12,19
fatty_acids_monounsaturated_eaten,25.01 ± 13.06,22.924,45.499831228221716,23.614500228142,3.7124623169352713,7,10,16
fatty_acids_polyunsaturated_eaten,10.97 ± 7.31,9.275,54.51197452357166,37.40790845736086,2.123523019002545,4,6,10
fatty_acids_saturated_eaten,40.83 ± 18.20,38.042,38.68336199029406,19.92148517443125,3.7705525551349814,7,10,17
folate_eaten,2.12e-04 ± 1.12e-04,0.00019106,43.14870062977858,29.765399061522345,2.1014159538230888,4,6,9
iron_eaten,9.08e-03 ± 4.98e-03,0.0082449999999999,47.624428329689664,26.653285154490863,3.1926996140107535,6,9,14
magnesium_eaten,2.54e-01 ± 1.38e-01,0.2306699999999998,42.315603748143964,33.56106511153054,1.5897528512437187,3,5,7
niacin_eaten,1.19e-02 ± 8.02e-03,0.009987,60.461554043704034,28.613484636886927,4.464955243193928,8,12,20
pantothenic_acid_eaten,1.08e-02 ± 3.56e-02,0.00382,250.7429515940053,211.69287241889472,1.4029590535545984,3,4,6
phosphorus_eaten,1.06 ± 4.72e-01,1.00118,38.08221356734842,21.648059262352977,3.0946136170308987,6,9,14
potassium_eaten,2.27 ± 1.10,2.137,42.64915335888481,21.497481994579264,3.9359143653521222,7,11,17
salt_eaten,5.19 ± 3.06,4.655,53.82842574028618,23.43251974250128,5.276979100414407,10,14,23
sodium_eaten,3.35 ± 1.48,3.1473165,38.92968779837215,18.571503208615677,4.39407764026954,8,12,19
sugar_eaten,91.14 ± 44.45,85.29366666666668,37.444354523785904,29.892754269187243,1.5690646309535032,3,5,7
vitamin_b1_eaten,1.07e-02 ± 3.36e-02,0.0009323,299.01286976472863,97.77629811500526,9.352174060371997,17,25,40
vitamin_b12_eaten,4.58e-06 ± 7.93e-06,2.835e-06,152.50738996809957,79.73770440904882,3.6580894436327456,7,10,16
vitamin_b2_eaten,4.74e-03 ± 1.99e-02,0.0010220999999999,415.9487193785053,82.19512990490664,25.608692818255182,46,67,110
vitamin_b6_eaten,4.91e-03 ± 1.71e-02,0.001419,341.0752254487418,65.35183620835531,27.23859865055627,49,71,117
vitamin_c_eaten,9.22e-02 ± 8.13e-02,0.0707509999999999,78.0623017248687,40.17207075226131,3.7760198393413584,7,10,17
vitamin_d_eaten,3.05e-06 ± 3.47e-06,2.0033333333333334e-06,105.90417296067596,39.84097608498435,7.065879166059275,13,19,31
zinc_eaten,8.79e-03 ± 5.50e-03,0.007755,55.91732474209057,26.619773252599522,4.412493379913354,8,12,19
dairy_products_meat_fish_eggs_tofu,336.70 ± 221.95,306.0,53.611567304328254,35.07852885579232,2.3357925277429032,5,7,10
vegetables_fruits,474.21 ± 288.59,439.0,47.70731682391283,36.56839701516055,1.7019944369148459,4,5,8
sweets_salty_snacks_alcohol,372.40 ± 387.52,259.0,84.93447354605091,51.42336139601758,2.7280170155232417,5,8,12
non_alcoholic_beverages,1547.18 ± 1375.89,1400.0,46.792242092583564,75.19932439686463,0.3871861670538426,1,2,2
grains_potatoes_pulses,366.45 ± 210.95,340.0,48.789526966122956,29.113771508919434,2.808382618507413,5,8,12
oils_fats_nuts,37.06 ± 45.29,30.0,101.57715019300436,66.82287198919047,2.3106904740331253,5,7,10
